song_name_1,song_name_2,preference
Cheap Thrills,Eastside,Song 2
Arcade,Harleys In Hawaii,Song 2
BELIEVER,Let Me Down Slowly,Song 1
She Knows,Starboy,Song 2
Gangsta's Paradise,Let Me Love You,Song 2
Venom,I'm yours,Song 2
One Dance,See You Again,Song 2
Superman,Levitating,Song 1
Legends Never Die,Cardigan,Song 1
Night Changes,Not Afraid Anymore,Song 2
